Ticker,Persona,Return (%),MDD (%),Sharpe,Trades
2313.TW,aggressive,150.43,-15.9,2.64,7
2313.TW,moderate,87.89,-8.69,2.46,19
2337.TW,aggressive,174.58,-16.74,2.43,32
2337.TW,moderate,29.06,-8.66,1.69,37
2481.TW,aggressive,34.12,-8.8,1.73,9
2481.TW,moderate,14.31,-9.91,1.07,40
3006.TW,aggressive,80.57,-16.25,1.72,23
3006.TW,moderate,44.09,-9.07,1.95,28
3563.TW,aggressive,3.92,-11.73,0.25,23
3563.TW,moderate,0.56,-6.07,0.01,17
4916.TW,aggressive,7.83,-21.75,0.47,25
4916.TW,moderate,6.19,-6.8,0.68,17
4919.TW,aggressive,30.0,-23.07,0.98,16
4919.TW,moderate,2.99,-15.71,0.2,17
9958.TW,aggressive,-2.62,-24.89,-0.11,19
9958.TW,moderate,-9.83,-17.61,-1.24,24
