Ticker,AUC_Before,AUC_After,AUC_Diff,Acc_Before(%),Acc_After(%),Precision_Before(%),Precision_After(%),Opt_Trees
2301.TW,0.5963,0.7171,0.1208,51.67,48.75,61.29,0.0,56
2388.TW,0.4153,0.5342,0.1189,67.5,73.33,18.18,0.0,3
3006.TW,0.4445,0.5495,0.105,55.0,56.25,35.29,25.0,12
2377.TW,0.4502,0.5323,0.082,54.58,87.92,12.96,0.0,99
2454.TW,0.4431,0.5118,0.0688,54.58,55.83,0.0,26.74,3
2409.TW,0.6053,0.6638,0.0585,60.0,70.83,37.11,100.0,56
3231.TW,0.6362,0.6912,0.055,66.25,60.83,48.15,20.83,78
0050.TW,0.5083,0.5503,0.0419,40.83,45.0,35.29,0.0,4
2382.TW,0.3725,0.4073,0.0348,38.75,60.0,20.0,0.0,5
2344.TW,0.454,0.4872,0.0332,46.67,46.25,100.0,0.0,52
2330.TW,0.536,0.5659,0.0299,50.0,42.92,57.8,0.0,7
0052.TW,0.4814,0.5,0.0186,46.25,52.08,46.0,52.08,0
2324.TW,0.5515,0.5649,0.0133,57.08,76.25,28.7,0.0,7
2881.TW,0.6135,0.5592,-0.0543,70.83,69.17,52.63,0.0,11
3481.TW,0.5605,0.4469,-0.1136,55.83,44.58,42.86,34.51,98
9958.TW,0.6506,0.533,-0.1176,62.92,82.08,23.71,22.22,4
2317.TW,0.6765,0.5585,-0.118,62.92,57.5,60.66,0.0,43
2603.TW,0.8048,0.6589,-0.1459,57.92,70.42,40.51,0.0,2
